,# Threads,Size (nxn),m,,,Time Rectrsm,,Time TRSM,,,,,Size (nxn),performant_rectrsm! (M 128),rocBLAS.trsm! (M 128),performant_rectrsm! (M 256),rocBLAS.trsm! (M 256),performant_rectrsm! (M 1024),rocBLAS.trsm! (M 1024)
1,128,256,128,256,8.39E+06,0.000239339,35.0490643,0.001345776,6.233286966,,,,256,0.000239339,0.001345776,0.001410705,0.000171159,0.001335534,0.000181179
1,128,512,128,256,3.36E+07,0.000517058,64.89490928,0.000282309,118.8571105,,,,512,0.000517058,0.000282309,0.001232146,0.000285279,0.001901251,0.000340608
1,128,1024,128,256,1.34E+08,0.001595074,84.14514186,0.001416206,94.77274351,,,,1024,0.001595074,0.001416206,0.001809144,0.001553814,0.003866342,0.001336523
1,128,2048,128,256,5.37E+08,0.002639511,203.3978688,0.002683041,200.0979158,,,,2048,0.002639511,0.002683041,0.003515528,0.002436871,0.007434195,0.002784937
1,128,4096,128,256,2.15E+09,0.005155243,416.5630307,0.00880441,243.9100006,,,,4096,0.005155243,0.00880441,0.007619154,0.009189478,0.015457118,0.009491496
1,128,8192,128,256,8.59E+09,0.010752852,798.8517458,0.030193546,284.4957194,,,,8192,0.010752852,0.030193546,0.016238404,0.03357411,0.035862422,0.032725094
1,128,16384,128,256,3.44E+10,0.023183888,1482.052465,0.014748728,2329.674692,,,,16384,0.023183888,0.014748728,0.037855383,0.023047828,0.095216181,0.140113338
1,128,32768,128,256,1.37E+11,0.061401062,2238.380722,0.042655892,3222.039138,,,,32768,0.061401062,0.042655892,0.103267248,0.075450437,0.26107514,1.254239414
1,128,256,256,256,1.68E+07,0.001410705,11.89278836,0.000171159,98.02123172,,,,,,,,,,
1,128,512,256,256,6.71E+07,0.001232146,54.46502606,0.000285279,235.2394112,,,,,,,,,,
1,128,1024,256,256,2.68E+08,0.001809144,148.3770535,0.001553814,172.7590664,,,,,,,,,,
1,128,2048,256,256,1.07E+09,0.003515528,305.4283237,0.002436871,440.6231696,,,,,,,,,,
1,128,4096,256,256,4.29E+09,0.007619154,563.7065868,0.009189478,467.3788104,,,,,,,,,,
1,128,8192,256,256,1.72E+10,0.016238404,1057.977692,0.03357411,511.6999135,,,,,,,,,,
1,128,16384,256,256,6.87E+10,0.037855383,1815.315849,0.023047828,2981.603157,,,,,,,,,,
1,128,32768,256,256,2.75E+11,0.103267248,2661.8111,0.075450437,3643.15858,,,,,,,,,,
1,128,256,1024,256,6.71E+07,0.001380935,48.59668558,0.00018213,368.4668314,,,,256,0.001380935,0.00018213,,,,
1,128,512,1024,256,2.68E+08,0.001793473,149.6735418,0.000347349,772.8119442,,,,512,0.001793473,0.000347349,,,,
1,128,1024,1024,256,1.07E+09,0.003871456,277.3483217,0.000906617,1184.338948,,,,1024,0.003871456,0.000906617,,,,
1,128,2048,1024,256,4.29E+09,0.007439434,577.3244707,0.002593791,1655.864831,,,,2048,0.007439434,0.002593791,,,,
1,128,4096,1024,256,1.72E+10,0.015255696,1126.128181,0.008829959,1945.634083,,,,4096,0.015255696,0.008829959,,,,
1,128,8192,1024,256,6.87E+10,0.036087312,1904.255898,0.032590754,2108.557437,,,,8192,0.036087312,0.032590754,,,,
1,128,256,128,256,8.39E+06,0.000239088,35.0858596,0.001549573,5.413496492,,,,256,0.000239088,0.001549573,,,,
1,128,512,128,256,3.36E+07,0.001380534,24.30540066,0.000284269,118.0376052,,,,512,0.001380534,0.000284269,,,,
1,128,1024,128,256,1.34E+08,0.001487403,90.23628969,0.001463253,91.72557856,,,,1024,0.001487403,0.001463253,,,,
1,128,2048,128,256,5.37E+08,0.002358389,227.6430699,0.002708987,198.181428,,,,2048,0.002358389,0.002708987,,,,
1,128,4096,128,256,2.15E+09,0.005262496,408.0732124,0.008940638,240.1935576,,,,4096,0.005262496,0.008940638,,,,
1,128,8192,128,256,8.59E+09,0.01070878,802.1394213,0.02997392,286.5802869,,,,8192,0.01070878,0.02997392,,,,
1,128,16384,128,256,3.44E+10,0.023269809,1476.580163,0.014091114,2438.397586,,,,16384,0.023269809,0.014091114,,,,
1,128,32768,128,256,1.37E+11,0.061321355,2241.290224,0.042387964,3242.405167,,,,32768,0.061321355,0.042387964,,,,
1,128,256,256,256,1.68E+07,0.001456634,11.51779788,0.000170569,98.36028821,,,,256,0.001456634,0.000170569,,,,
1,128,512,256,256,6.71E+07,0.001147494,58.48297595,0.000284009,236.2913288,,,,512,0.001147494,0.000284009,,,,
1,128,1024,256,256,2.68E+08,0.001799472,149.1745668,0.001527243,175.7647316,,,,1024,0.001799472,0.001527243,,,,
1,128,2048,256,256,1.07E+09,0.003759483,285.6089053,0.002749747,390.4874972,,,,2048,0.003759483,0.002749747,,,,
1,128,4096,256,256,4.29E+09,0.007390856,581.1190606,0.009104947,471.7179898,,,,4096,0.007390856,0.009104947,,,,
1,128,8192,256,256,1.72E+10,0.016175214,1062.110782,0.033733846,509.2769198,,,,8192,0.016175214,0.033733846,,,,
