ThreadIdx: 0.0, BlockIdx: 0.0, BlockDim: 0.0
ThreadIdx: 2.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 3.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 4.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 5.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 6.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 7.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 8.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 9.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 10.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 11.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 12.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 13.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 14.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 15.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 16.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 17.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 18.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 19.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 20.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 21.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 22.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 23.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 24.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 25.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 26.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 27.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 28.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 29.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 30.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 31.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 32.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 33.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 34.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 35.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 36.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 37.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 38.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 39.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 40.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 41.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 42.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 43.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 44.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 45.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 46.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 47.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 48.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 49.0, BlockIdx: 1.0, BlockDim: 1024.0
ThreadIdx: 50.0, BlockIdx: 1.0, BlockDim: 1024.0
